playerId,skaterFullName,lastName,positionCode,teamAbbrevs,gamesPlayed,shootsCatches,satPercentageClose,satPercentageTied,usatPercentageTied,usatPercentageClose,gameWinningGoals,otGoals,shGoals,headshot,logo,satPercentageClosePercentile,satPercentageTiedPercentile,usatPercentageTiedPercentile,usatPercentageClosePercentile,gameWinningGoalsPercentile,tiedPercentile,closePercentile,final,finalRank,clutch_performance
8479977,Kailer Yamamoto,Yamamoto,R,SEA,59,R,50.7,49.7,48.3,50.2,2,0,0,https://assets.nhle.com/mugs/nhl/20232024/SEA/8479977.png,https://assets.nhle.com/logos/nhl/svg/SEA_dark.svg,59.32,50.42,38.45,55.08,56.04,44.44,57.2,52.91,221.0,0
8479346,Dillon Dube,Dube,C,CGY,43,L,48.4,50.1,52.0,49.7,0,0,0,https://assets.nhle.com/mugs/nhl/20232024/CGY/8479346.png,https://assets.nhle.com/logos/nhl/svg/CGY_dark.svg,40.47,53.6,66.21,50.53,13.45,59.9,45.5,37.0,329.0,0
8475958,Michael Sgarbossa,Sgarbossa,C,WSH,25,L,52.300000000000004,48.4,46.7,52.900000000000006,1,0,0,https://assets.nhle.com/mugs/nhl/20232024/WSH/8475958.png,https://assets.nhle.com/logos/nhl/svg/WSH_dark.svg,73.31,41.1,30.4,76.27,37.18,35.75,74.79,48.03,252.0,0
8475158,Ryan O'Reilly,O'Reilly,C,NSH,87,L,52.5,55.00000000000001,54.50000000000001,52.300000000000004,1,0,0,https://assets.nhle.com/mugs/nhl/20232024/NSH/8475158.png,https://assets.nhle.com/logos/nhl/svg/NSH_dark.svg,74.89,86.02,80.93,70.66,37.18,83.48,72.78,61.75,156.0,0
8478458,Jack Roslovic,Roslovic,C,CBJ,59,R,49.8,50.4,50.2,50.2,3,1,1,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8478458.png,https://assets.nhle.com/logos/nhl/svg/CBJ_dark.svg,50.53,56.67,54.24,55.08,71.08,55.46,52.8,60.91,162.0,0
8479992,Michael Rasmussen,Rasmussen,C,DET,75,L,43.5,40.6,40.300000000000004,42.9,3,0,1,https://assets.nhle.com/mugs/nhl/20232024/DET/8479992.png,https://assets.nhle.com/logos/nhl/svg/DET_dark.svg,12.39,5.4,4.45,10.28,71.08,4.93,11.34,33.31,347.0,0
8479994,Jaret Anderson-Dolan,Anderson-Dolan,C,LAK,31,L,50.9,54.0,55.50000000000001,49.5,0,0,1,https://assets.nhle.com/mugs/nhl/20232024/LAK/8479994.png,https://assets.nhle.com/logos/nhl/svg/LAK_dark.svg,60.38,81.25,86.44,49.47,13.45,83.84,54.92,47.01,258.0,0
8479675,Trevor Moore,Moore,L,LAK,86,L,53.800000000000004,54.400000000000006,56.89999999999999,56.8,5,0,2,https://assets.nhle.com/mugs/nhl/20232024/LAK/8479675.png,https://assets.nhle.com/logos/nhl/svg/LAK_dark.svg,84.32,82.94,92.9,93.96,88.67,87.92,89.14,88.59,25.0,1
8470794,Joe Pavelski,Pavelski,C,DAL,87,R,53.5,54.0,52.2,52.5,4,1,0,https://assets.nhle.com/mugs/nhl/20232024/DAL/8470794.png,https://assets.nhle.com/logos/nhl/svg/DAL_dark.svg,82.1,81.25,67.48,73.31,81.78,74.37,77.7,78.33,60.0,0
8479987,Morgan Geekie,Geekie,C,BOS,81,R,47.9,48.6,48.5,47.699999999999996,1,0,0,https://assets.nhle.com/mugs/nhl/20232024/BOS/8479987.png,https://assets.nhle.com/logos/nhl/svg/BOS_dark.svg,36.86,42.16,41.21,35.17,37.18,41.68,36.02,38.18,321.0,0
